fmun;ano;mes;regiao;roubo_veiculo;furto_veiculos;trafico_drogas;recuperacao_veiculos
Arraial do Cabo;2014;4;Interior;0;0;5;0
Barra do Piraí;2014;4;Interior;0;3;7;0
Barra Mansa;2014;4;Interior;0;18;20;11
Belford Roxo;2014;4;Baixada Fluminense;75;24;19;62
Bom Jardim;2014;4;Interior;0;1;1;0
Bom Jesus do Itabapoana;2014;4;Interior;0;0;12;0
Cabo Frio;2014;4;Interior;9;32;45;28
Cachoeiras de Macacu;2014;4;Interior;0;5;5;3
Cambuci;2014;4;Interior;0;0;1;0
Carapebus;2014;4;Interior;0;0;0;0
Comendador Levy Gasparian;2014;4;Interior;0;0;0;0
Campos dos Goytacazes;2014;4;Interior;18;41;55;48
Cantagalo;2014;4;Interior;0;0;2;0
Cardoso Moreira;2014;4;Interior;0;1;1;0
Carmo;2014;4;Interior;2;0;2;1
Casimiro de Abreu;2014;4;Interior;4;0;7;3
Conceição de Macabu;2014;4;Interior;1;1;0;1
Cordeiro;2014;4;Interior;0;1;0;1
Duas Barras;2014;4;Interior;0;0;0;1
Duque de Caxias;2014;4;Baixada Fluminense;390;84;61;221
Engenheiro Paulo de Frontin;2014;4;Interior;0;1;0;1
Guapimirim;2014;4;Baixada Fluminense;7;4;0;7
Iguaba Grande;2014;4;Interior;2;2;0;1
Itaboraí;2014;4;Interior;24;21;28;28
Itaguaí;2014;4;Baixada Fluminense;27;17;19;39
Italva;2014;4;Interior;0;0;0;0
Itaocara;2014;4;Interior;0;1;2;1
Itaperuna;2014;4;Interior;0;4;7;3
Itatiaia;2014;4;Interior;0;0;7;0
Japeri;2014;4;Baixada Fluminense;7;3;13;3
Laje do Muriaé;2014;4;Interior;0;0;1;0
Macaé;2014;4;Interior;37;21;18;24
Macuco;2014;4;Interior;0;0;0;0
Magé;2014;4;Baixada Fluminense;23;10;19;23
Mangaratiba;2014;4;Interior;0;5;1;3
Maricá;2014;4;Grande Niterói;9;13;10;22
Mendes;2014;4;Interior;0;1;3;0
Mesquita;2014;4;Baixada Fluminense;66;23;13;41
Miguel Pereira;2014;4;Interior;0;4;4;5
Miracema;2014;4;Interior;0;0;2;0
Natividade;2014;4;Interior;0;0;1;0
Nilópolis;2014;4;Baixada Fluminense;64;14;2;39
Niterói;2014;4;Grande Niterói;132;75;43;86
Nova Friburgo;2014;4;Interior;2;12;18;8
Nova Iguaçu;2014;4;Baixada Fluminense;266;91;35;112
Paracambi;2014;4;Baixada Fluminense;0;0;1;3
Paraíba do Sul;2014;4;Interior;0;1;2;1
Paraty;2014;4;Interior;1;4;5;1
Paty do Alferes;2014;4;Interior;0;0;0;0
Petrópolis;2014;4;Interior;2;23;26;8
Pinheiral;2014;4;Interior;2;1;1;1
Piraí;2014;4;Interior;0;0;2;0
Porciúncula;2014;4;Interior;0;0;3;0
Porto Real;2014;4;Interior;0;0;8;2
Quatis;2014;4;Interior;0;0;0;0
Queimados;2014;4;Baixada Fluminense;10;4;2;10
Quissamã;2014;4;Interior;1;5;4;3
Resende;2014;4;Interior;1;2;22;3
Rio Bonito;2014;4;Interior;5;6;8;7
Rio Claro;2014;4;Interior;1;0;0;1
Rio das Flores;2014;4;Interior;0;0;0;0
Rio das Ostras;2014;4;Interior;18;16;7;12
Rio de Janeiro;2014;4;Capital;1207;666;284;1079
Santa Maria Madalena;2014;4;Interior;0;1;0;1
Santo Antônio de Pádua;2014;4;Interior;1;5;4;6
São Francisco de Itabapoana;2014;4;Interior;1;1;4;1
São Fidélis;2014;4;Interior;0;0;8;0
São Gonçalo;2014;4;Grande Niterói;407;85;79;285
São João da Barra;2014;4;Interior;5;5;4;2
São João de Meriti;2014;4;Baixada Fluminense;194;41;10;111
São José de Ubá;2014;4;Interior;0;0;0;0
São José do Vale do Rio Preto;2014;4;Interior;0;0;1;1
São Pedro da Aldeia;2014;4;Interior;4;14;6;3
São Sebastião do Alto;2014;4;Interior;1;0;0;0
Sapucaia;2014;4;Interior;1;0;1;0
Saquarema;2014;4;Interior;8;12;3;12
Seropédica;2014;4;Baixada Fluminense;12;3;3;4
Silva Jardim;2014;4;Interior;1;1;2;0
Sumidouro;2014;4;Interior;0;1;0;2
Tanguá;2014;4;Interior;4;0;2;2
Teresópolis;2014;4;Interior;4;12;25;5
Trajano de Moraes;2014;4;Interior;0;1;0;0
Três Rios;2014;4;Interior;1;4;6;0
Valença;2014;4;Interior;0;4;4;1
Varre-Sai;2014;4;Interior;0;0;0;0
Vassouras;2014;4;Interior;0;0;0;1
Volta Redonda;2014;4;Interior;6;20;25;13
Angra dos Reis;2014;5;Interior;6;8;22;6
Aperibé;2014;5;Interior;0;0;0;0
Araruama;2014;5;Interior;3;10;6;5
Areal;2014;5;Interior;0;0;0;0
Armação dos Búzios;2014;5;Interior;1;7;4;1
Arraial do Cabo;2014;5;Interior;0;3;4;1
Barra do Piraí;2014;5;Interior;0;2;5;2
Barra Mansa;2014;5;Interior;1;20;13;22
Belford Roxo;2014;5;Baixada Fluminense;63;18;16;56
Bom Jardim;2014;5;Interior;0;1;0;0
Bom Jesus do Itabapoana;2014;5;Interior;1;1;7;1
Cabo Frio;2014;5;Interior;9;21;48;16
Cachoeiras de Macacu;2014;5;Interior;2;4;3;0
Cambuci;2014;5;Interior;0;0;0;0
Carapebus;2014;5;Interior;0;0;0;0
Comendador Levy Gasparian;2014;5;Interior;0;0;0;0
Campos dos Goytacazes;2014;5;Interior;23;47;35;43
Cantagalo;2014;5;Interior;0;0;1;0
Cardoso Moreira;2014;5;Interior;1;0;0;0
Carmo;2014;5;Interior;2;0;6;0
